,restaurant,url,category,distance,star,num_reviews
89,The Works Craft Burgers,https://www.doordash.com/store/1638849/?pickup=false,"$$ • Poutineries, Burgers",29 min • 300 ft,4.4,(69)
90,Grabb-A-Pizza,https://www.doordash.com/store/443213/?pickup=false,"$$ • Pizza, Chicken Wings",26 min • 1.2 mi,4.6,(10)
91,RAPiZZA,https://www.doordash.com/store/2546943/?pickup=false,"$$ • Pizza, Dessert",27 min • 300 ft,5.0,
92,Demetres,https://www.doordash.com/store/205282/?pickup=false,"$$ • Belgian, Waffles",Closed • 2.6 mi,4.4,"(1,000+)"
93,Queen Eatery,https://www.doordash.com/store/22931357/?pickup=false,"$$ • Breakfast, Omelets",Closed • 0.8 mi,4.5,(56)
94,Pepper Shack,https://www.doordash.com/store/774234/?pickup=false,"$$ • Seafood, Soup",Closed • 0.9 mi,4.2,(96)
95,Eggsmart,https://www.doordash.com/store/1016015/?pickup=false,"$$ • American, Sandwiches",Closed • 0.8 mi,4.4,(296)
96,Yarl Dosa Corner,https://www.doordash.com/store/60307/?pickup=false,"$$ • Indian, Dessert",Closed • 1.0 mi,3.4,(96)
97,Genius Restaurant and Patty,https://www.doordash.com/store/1321977/?pickup=false,"$$ • Soup, Seafood",Closed • 1.4 mi,5.0,(15)
98,Sunset Grill,https://www.doordash.com/store/23195858/?pickup=false,"$$ • Breakfast, Omelets",Closed • 400 ft,5.0,
99,Deccan Express,https://www.doordash.com/store/1143539/?pickup=false,"$$ • Indian, Curry",Closed • 1.7 mi,4.4,(77)
100,Biryani King,https://www.doordash.com/store/205264/?pickup=false,"$$ • Pakistani, Dessert",Closed • 1.8 mi,4.2,(14)
101,Gem's House Of Jerk,https://www.doordash.com/store/205204/?pickup=false,"$$ • Caribbean, Snacks",Closed • 1.7 mi,3.9,(412)
102,Pita Land,https://www.doordash.com/store/2412971/?pickup=false,"$$ • Wraps, Poutineries",Closed • 2.0 mi,3.8,(44)
103,Shop-Mart,https://www.doordash.com/store/22981415/?pickup=false,"$$ • Snacks, Candy",Closed • 900 ft,,
104,YUM YUM RESTAURANT - JAMAICAN CUISINE,https://www.doordash.com/store/1099372/?pickup=false,"$$ • Jamaican, Breakfast",Closed • 600 ft,4.3,(27)
105,Sarbat Foods,https://www.doordash.com/store/1618649/?pickup=false,"$$ • Indian, Breakfast",Closed • 0.2 mi,3.5,
106,3MS African Market,https://www.doordash.com/convenience/store/1691950/?pickup=false,"$$ • Snacks, Grocery",Closed • 0.4 mi,5.0,
107,Shy Lounge INC,https://www.doordash.com/store/296119/?pickup=false,"$$ • Chinese, Fried Rice",Closed • 0.4 mi,3.1,(31)
108,bonfirehouse,https://www.doordash.com/store/22980649/?pickup=false,"$$ • Breakfast, Takeout",Closed • 900 ft,,
109,RAPiZZA,https://www.doordash.com/store/1725420/?pickup=false,$,Closed • 300 ft,,
110,Dolcezza Custom Cakes,https://www.doordash.com/store/1882403/?pickup=false,"$$ • Bakery, Cupcakes",Closed • 500 ft,,
111,Sharm's Mediterranean Restaurant,https://www.doordash.com/store/23462259/?pickup=false,"$$ • Mediterranean, Shawarma",Closed • 0.2 mi,,
112,Warraich Meats,https://www.doordash.com/store/366045/?pickup=false,"$$ • Indian, Chicken",Closed • 1.9 mi,3.9,(417)
113,Culinarystars by chef harminder,https://www.doordash.com/store/1221412/?pickup=false,"$$ • Indian, Chicken",Closed • 1.2 mi,,
114,Mumbaiya Khau Galli,https://www.doordash.com/store/1617461/?pickup=false,"$$ • Curry, Indian",Closed • 1.6 mi,5.0,
115,Spice Dera,https://www.doordash.com/store/2561499/?pickup=false,"$$ • Barbecue, Curry",Closed • 1.0 mi,2.8,
116,Burrito Bandidos,https://www.doordash.com/store/1609909/?pickup=false,"$$ • Mexican, Burritos",Closed • 1.9 mi,3.1,(32)
117,Fyah Side Jamaican Grill,https://www.doordash.com/store/1663400/?pickup=false,"$$ • Jamaican, Seafood",Closed • 2.6 mi,4.3,
