,restaurant,url,category,distance,star,num_reviews
175,Sitar Indian Restaurant,https://www.doordash.com/store/28260/?pickup=false,"$$ • Indian, Seafood",20 min • 0.5 mi,4.5,(930+)
176,Manoush'eh Lebanese,https://www.doordash.com/store/519570/?pickup=false,"$$ • Lebanese, Sweets",20 min • 0.5 mi,4.7,(520+)
177,Foret Noire Patisserie,https://www.doordash.com/store/881256/?pickup=false,"$$ • Cakes, Pastries",25 min • 1.2 mi,4.7,(345)
178,Momo Sushi,https://www.doordash.com/store/34755/?pickup=false,"$ • Japanese, Nigiri",22 min • 0.4 mi,4.5,"(1,000+)"
179,Poke Bar,https://www.doordash.com/store/929702/?pickup=false,"$$ • Poke, Milk Tea",18 min • 0.7 mi,4.7,"(1,200+)"
180,Nuba,https://www.doordash.com/store/31050/?pickup=false,"$$ • Turkish, Syrian",22 min • 0.3 mi,4.6,(530+)
181,Chatime Atealier,https://www.doordash.com/store/1864127/?pickup=false,"$$ • Bubble Tea, Milk Tea",15 min • 900 ft,4.7,(96)
182,Bay Sushi Express Cafe,https://www.doordash.com/store/42615/?pickup=false,"$$ • Japanese, Sushi",22 min • 800 ft,4.8,(253)
183,Davie Dosa Company,https://www.doordash.com/store/138673/?pickup=false,"$$ • Indian, Curry",27 min • 0.9 mi,4.2,"(1,400+)"
184,R&B Ale & Pizza House,https://www.doordash.com/store/98663/?pickup=false,"$$ • Pizza, Beer",25 min • 1.0 mi,4.7,(143)
185,Downtown Sushi Bar,https://www.doordash.com/store/177850/?pickup=false,"$$ • Japanese, Sushi",21 min • 0.8 mi,4.2,(492)
186,Deacon's Corner,https://www.doordash.com/store/30988/?pickup=false,"$$ • Breakfast, Burgers",26 min • 0.7 mi,4.6,(990+)
187,Zeitoon Restaurant,https://www.doordash.com/store/338426/?pickup=false,"$$ • Persian, Kebabs",29 min • 1.3 mi,4.4,"(2,500+)"
188,Flaming Wok (Pacific Centre-Vancouver),https://www.doordash.com/store/1160428/?pickup=false,"$$ • Chinese, Noodles",14 min • 0.2 mi,4.3,(66)
189,Red Truck Truck Stop,https://www.doordash.com/store/956653/?pickup=false,"$$ • Alcohol, Burgers",24 min • 1.1 mi,4.7,(484)
190,Tiger Sugar,https://www.doordash.com/store/2162062/?pickup=false,"$$ • Coffee & Tea, Boba",14 min • 0.3 mi,4.4,(52)
