,restaurant,url,category,distance,star,num_reviews
166,Purdys Chocolatier,https://www.doordash.com/store/1222909/?pickup=false,"$$ • Chocolates, Gift",22 min • 900 ft,5.0,
167,BarBurrito,https://www.doordash.com/store/1070717/?pickup=false,"$$ • Mexican, Burritos",27 min • 1.9 mi,4.3,(60)
168,Slush Puppies By Ghost Kitchens,https://www.doordash.com/store/1534634/?pickup=false,"$$ • Poutineries, Indian",24 min • 1.2 mi,4.4,(19)
169,RedBull By Ghost Kitchens,https://www.doordash.com/store/973907/?pickup=false,"$$ • Italian, Sandwiches",24 min • 1.2 mi,4.4,(15)
170,Lola's Latin Cuisine & Churros,https://www.doordash.com/store/1368336/?pickup=false,"$$ • Cheesecake, Poutineries",28 min • 1.2 mi,3.4,(13)
171,Good Earth Coffeehouse,https://www.doordash.com/store/23078750/?pickup=false,"$$ • Coffee & Tea, Bakery",28 min • 1.6 mi,,
172,Yeg Pizza on Wheels,https://www.doordash.com/store/1750514/?pickup=false,"$$ • Italian, Pizza",17 min • 800 ft,3.2,
173,Sammies By SoDo,https://www.doordash.com/store/23348820/?pickup=false,$$,22 min • 0.7 mi,,
174,Shijing Taste Mixer,https://www.doordash.com/store/1346349/?pickup=false,"$$ • Chinese, Fries",24 min • 0.4 mi,,
175,Express Corner Store,https://www.doordash.com/store/23428226/?pickup=false,"$$ • Curry, Biryani",24 min • 0.7 mi,,
176,Black Ship Restro & Pub Inc.,https://www.doordash.com/store/1354805/?pickup=false,"$$ • Burgers, Canadian (New)",23 min • 0.3 mi,3.8,
177,Salvadorenos,https://www.doordash.com/store/23329485/?pickup=false,"$$ • Salvadorian, Tacos",27 min • 1.3 mi,,
178,T.Kettle,https://www.doordash.com/store/2492414/?pickup=false,"$$ • Matcha, Green Tea",28 min • 1.3 mi,5.0,
179,The Lingnan,https://www.doordash.com/store/149807/?pickup=false,"$$ • Chinese, Shrimp",Closed • 0.3 mi,4.6,"(1,100+)"
180,Pazzo Pazzo,https://www.doordash.com/store/149816/?pickup=false,"$$ • Italian, Salads",Closed • 0.2 mi,4.7,(560+)
181,Snowy Village,https://www.doordash.com/store/304115/?pickup=false,"$$ • Korean, Dessert",Closed • 0.7 mi,4.7,(440)
182,Ono Poke Co,https://www.doordash.com/store/150080/?pickup=false,"$$ • Poke, Seafood",Closed • 0.3 mi,4.5,(208)
183,OEB Breakfast,https://www.doordash.com/store/567468/?pickup=false,"$$ • Breakfast, Sandwiches",Closed • 0.2 mi,4.6,(660+)
184,Pur & Simple,https://www.doordash.com/store/1593929/?pickup=false,"$$ • French Toast, Breakfast",Closed • 1.2 mi,4.6,(274)
185,A Bite of Brazil by Pampa,https://www.doordash.com/store/957551/?pickup=false,"$$ • Grilled Cheese, Brazilian",Closed • 0.3 mi,4.8,(227)
186,Tea Bar Cafe,https://www.doordash.com/store/286294/?pickup=false,"$$ • Cafe, Japanese",Closed • 0.5 mi,4.4,(230)
187,Rigoletto's Cafe,https://www.doordash.com/store/150243/?pickup=false,"$$ • Italian, Coffee & Tea",Closed • 0.5 mi,4.8,(297)
188,Kellys Pub,https://www.doordash.com/store/921330/?pickup=false,"$$ • Alcohol, Burgers",Closed • 0.2 mi,4.4,(81)
189,Liquor Store On 111,https://www.doordash.com/convenience/store/1615647/?pickup=false,"$$ • Alcohol, Beer",Closed • 1.0 mi,4.5,(111)
190,Sai Woo Garden Restaurant,https://www.doordash.com/store/149836/?pickup=false,"$$ • Chinese, Seafood",Closed • 0.5 mi,4.4,(259)
191,Viphalay,https://www.doordash.com/store/1442407/?pickup=false,"$$ • Thai, Soup",Closed • 0.6 mi,4.7,(148)
192,Taj Western Cuisine,https://www.doordash.com/store/540474/?pickup=false,"$$ • Indian, African",Closed • 0.7 mi,3.8,(64)
193,L'espresso Cafe,https://www.doordash.com/store/172782/?pickup=false,"$$ • Cafe, Coffee",Closed • 0.3 mi,4.5,(27)
194,The Pint,https://www.doordash.com/store/172758/?pickup=false,"$$ • Chicken Wings, Canadian",Closed • 0.5 mi,4.3,(194)
195,Delicious Pho,https://www.doordash.com/store/865712/?pickup=false,"$$ • Vietnamese, Vermicelli",Closed • 1.6 mi,4.3,(421)
