,restaurant,url,category,distance,star,num_reviews
148,Sushi Inbox,https://www.doordash.com/store/1357428/?pickup=false,"$$ • Japanese, Asian",0.6 mi • 19 min,4.6,(32)
149,Bhandari Cuisine Indienne,https://www.doordash.com/store/852779/?pickup=false,"$$ • Indian, Vegetarian",0.3 mi • 30 min,4.5,(510+)
150,Bombay Mahal Express-,https://www.doordash.com/store/1152980/?pickup=false,"$$ • Indian, Vegetarian",1.1 mi • 30 min,4.6,(494)
151,Restaurant Chez Nick,https://www.doordash.com/store/629732/?pickup=false,"$$ • Breakfast, Sandwiches",0.9 mi • 26 min,4.6,(184)
152,Mizan gourmet,https://www.doordash.com/convenience/store/1351829/?pickup=false,"$$ • Convenience, Grocery",0.2 mi • 20 min,4.1,(180)
153,Yin Ji,https://www.doordash.com/store/1644900/?pickup=false,"$$ • Congee, Dumplings",0.4 mi • 25 min,4.8,(208)
154,Chef Lee,https://www.doordash.com/store/1201353/?pickup=false,"$$ • Chinese, Soup",0.4 mi • 22 min,4.6,(31)
155,Pizza Pizza,https://www.doordash.com/store/1339268/?pickup=false,"$$ • Italian, Pizza",0.4 mi • 23 min,4.3,(720+)
156,Restaurant Nippon (E 52nd St),https://www.doordash.com/store/1123769/?pickup=false,"$$ • Japanese, Sushi",0.3 mi • 22 min,4.7,(142)
157,Centrale Bergham,https://www.doordash.com/store/1461222/?pickup=false,"$$ • Poutineries, Sandwiches",0.2 mi • 17 min,4.1,(258)
158,Chez Bong,https://www.doordash.com/store/1136487/?pickup=false,"$$ • Korean, Noodles",0.3 mi • 19 min,4.6,(141)
159,Royal Snacks,https://www.doordash.com/convenience/store/1098332/?pickup=false,"$$ • Convenience, Alcohol",1.1 mi • 22 min,4.3,(172)
160,New System Bar BQ,https://www.doordash.com/store/984865/?pickup=false,"$$ • Italian, Greek",1.2 mi • 27 min,4.4,(481)
161,Mr. Gao China Restaurant 高老庄,https://www.doordash.com/store/652468/?pickup=false,"$$ • Chinese, Fried Rice",0.2 mi • 29 min,4.3,(26)
162,Café casa de pastel,https://www.doordash.com/store/2125350/?pickup=false,"$$ • Cafe, Sweets",1.4 mi • 30 min,4.7,(172)
163,Burger Bar,https://www.doordash.com/store/714291/?pickup=false,"$$ • Burgers, Chicken Wings",600 ft • 23 min,4.6,(323)
164,Hot Star Large Fried Chicken 豪大大鸡排（Quebec),https://www.doordash.com/store/2571552/?pickup=false,"$$ • French, Chinese",0.4 mi • 24 min,4.7,(102)
165,I am Pho Côte-Des-Neiges,https://www.doordash.com/store/1825838/?pickup=false,"$$ • Pho, Vermicelli",2.1 mi • 27 min,4.7,(297)
166,Bird Bar,https://www.doordash.com/store/714277/?pickup=false,"$$ • Brunch, Salads",0.9 mi • 25 min,4.6,(208)
167,Brotelli Pasta Bar,https://www.doordash.com/store/739810/?pickup=false,"$$ • Italian, Dessert",0.4 mi • 19 min,4.7,(52)
168,Restaurant Chillax,https://www.doordash.com/store/2223651/?pickup=false,"$$ • Japanese, Poke",0.8 mi • 23 min,4.7,(202)
