,restaurant,url,category,distance,star,num_reviews
107,Falafel Scoop,https://www.doordash.com/store/818436/?pickup=false,"$$ • Middle Eastern, Falafel",0.8 mi • 23 min,4.6,(37)
108,The Shawarma Place,https://www.doordash.com/store/299315/?pickup=false,"$$ • Lebanese, Sandwiches",0.6 mi • 23 min,3.7,(68)
109,Mr. Luko,https://www.doordash.com/store/23082205/?pickup=false,"$$ • Sandwiches, Crepes",1.6 mi • 27 min,4.7,(18)
110,Sugar & Slice,https://www.doordash.com/store/710271/?pickup=false,"$$ • Pizza, Salads",1.3 mi • 27 min,4.6,(133)
111,Mandarin Bistro,https://www.doordash.com/store/1056064/?pickup=false,"$$ • Chinese, Noodles",1.0 mi • 28 min,4.5,(67)
112,Fries With Burger,https://www.doordash.com/store/2854596/?pickup=false,"$$ • Burgers, Poutineries",1.0 mi • 22 min,4.5,(16)
113,Hot Star Large Fried Chicken,https://www.doordash.com/store/2703960/?pickup=false,"$$ • Taiwanese, Chicken",0.5 mi • 20 min,4.6,(23)
114,Insta Bolz,https://www.doordash.com/store/1556441/?pickup=false,"$$ • Smoothies, Breakfast",0.9 mi • 26 min,4.6,(46)
115,La Fiesta Latina,https://www.doordash.com/store/1249760/?pickup=false,"$$ • Mexican, Gluten-Free",0.7 mi • 23 min,4.2,(63)
116,Pizza Hut,https://www.doordash.com/store/2102504/?pickup=false,"$$ • Delivery, Fries",0.6 mi • 24 min,4.7,(149)
117,La Villa Latina,https://www.doordash.com/store/511454/?pickup=false,"$$ • Mexican, Tex-Mex",1.7 mi • 29 min,4.0,(43)
118,Peace-Garden Vegetarian Paradise,https://www.doordash.com/store/1354113/?pickup=false,"$$ • Indian, Vegetarian",0.5 mi • 24 min,4.6,(28)
119,India Cafe,https://www.doordash.com/store/825513/?pickup=false,"$$ • Indian, Lamb",0.4 mi • 26 min,3.8,(20)
120,Pubwells Restaurant,https://www.doordash.com/store/664588/?pickup=false,"$$ • Pubs, Pizza",1.2 mi • 27 min,4.5,(17)
121,German Doner Kebab,https://www.doordash.com/store/2415330/?pickup=false,"$$ • Mediterranean, Kebabs",0.6 mi • 24 min,,
122,Salad Bar by Pi Co.,https://www.doordash.com/store/1013733/?pickup=false,"$$ • Delivery, Build Your Own",0.4 mi • 17 min,4.4,(37)
123,Metropolitain Brasserie,https://www.doordash.com/store/298380/?pickup=false,"$$ • Alcohol, Brunch",0.3 mi • 27 min,4.7,(77)
